Nome,λ teórico [Å],λ observado [Å],Δλ [Å],Flux,S/N (aprox)
Não identificada,,3712.0,,0.19256400000000007,0.3980796073553946
Não identificada,,3849.0,,0.19189999999999996,0.39670694756808217
Não identificada,,3613.0,,0.19120499999999996,0.3952702027605792
Não identificada,,4295.0,,0.18757200000000007,0.3877598518459633
Não identificada,,5383.0,,0.18569499999999994,0.3838796072363471
Não identificada,,5472.0,,0.18484099999999992,0.3821141682930269
Não identificada,,3473.0,,0.18375999999999992,0.37987946162121294
Não identificada,,4432.0,,0.18085399999999996,0.37387200779300644
Não identificada,,4581.0,,0.17909200000000003,0.3702294979357113
Não identificada,,5230.0,,0.17569800000000002,0.36321322185417887
Não identificada,,3751.0,,0.17392799999999986,0.3595541739271566
Não identificada,,4130.0,,0.170257,0.35196526718133914
Não identificada,,5354.0,,0.167103,0.3454451331916063
Não identificada,,3579.0,,0.16705000000000003,0.3453355684796673
Não identificada,,4039.0,,0.16669,0.3445913553419679
Não identificada,,5547.0,,0.16591,0.3429788935436192
Não identificada,,4473.0,,0.16529100000000008,0.3416992603985196
Não identificada,,4193.0,,0.16452999999999995,0.34012607651577154
Não identificada,,4396.0,,0.164041,0.33911518700372995
Não identificada,,4143.0,,0.16212300000000013,0.3351501847867652
Não identificada,,4277.0,,0.15786900000000004,0.3263560662096175
He II 4686,4685.7,4694.0,8.300000000000182,0.15719400000000006,0.3249606665764312
Não identificada,,4243.0,,0.15587399999999996,0.3222318850715333
Não identificada,,4362.0,,0.15522900000000006,0.3208985031998221
Não identificada,,4708.0,,0.15433300000000005,0.319046239390437
Não identificada,,5320.0,,0.152717,0.31570554930565303
Não identificada,,3915.0,,0.15105999999999997,0.31228010161352004
Não identificada,,4557.0,,0.15099699999999994,0.3121498643144226
Não identificada,,3449.0,,0.14772000000000007,0.3053754575026427
Não identificada,,4001.0,,0.14667000000000008,0.3032048358510196
He I 3889,3888.6,3898.0,9.400000000000091,0.141111,0.2917129446497116
Não identificada,,4210.0,,0.13953000000000004,0.28844460861998195
[N I] 5200,5199.8,5197.0,-2.800000000000182,0.1393089999999999,0.2879877444437829
Não identificada,,3801.0,,0.13839900000000005,0.2861065390123764
Não identificada,,3263.0,,0.13776999999999995,0.28480623328011817
Não identificada,,4351.0,,0.137756,0.2847772916580966
Não identificada,,4410.0,,0.13562699999999994,0.28037609785209106
Não identificada,,4502.0,,0.13477399999999995,0.2786127261674867
Não identificada,,4171.0,,0.13202500000000006,0.2729298319576659
Não identificada,,4381.0,,0.13075599999999998,0.27030648064727547
Não identificada,,3694.0,,0.13025100000000012,0.26926251499578074
Não identificada,,3569.0,,0.12776900000000002,0.2641315788630866
Não identificada,,3990.0,,0.12769600000000003,0.26398066897683087
Não identificada,,3978.0,,0.12293299999999996,0.25413431571332484
Não identificada,,4019.0,,0.12163999999999997,0.25146135019375465
Não identificada,,4119.0,,0.11984800000000007,0.24775682257498463
Não identificada,,3671.0,,0.11656199999999994,0.24096381043476175
Não identificada,,4091.0,,0.11531400000000003,0.23838387155740412
Não identificada,,4568.0,,0.11354900000000001,0.23473515992396132
Não identificada,,4081.0,,0.11346900000000004,0.23456977922669486
Não identificada,,4615.0,,0.11308099999999999,0.23376768284495208
Não identificada,,4847.0,,0.11033099999999996,0.22808272137641514
Não identificada,,5271.0,,0.10951199999999994,0.22638963648814905
Não identificada,,5507.0,,0.10838300000000001,0.22405570139797532
Não identificada,,3813.0,,0.10811000000000015,0.2234913397685536
Não identificada,,3624.0,,0.106711,0.22059924482510487
Não identificada,,5165.0,,0.10345100000000007,0.21385998141149404
Não identificada,,4056.0,,0.10297,0.2128656299691789
Não identificada,,3824.0,,0.09999000000000013,0.20670519899600104
Não identificada,,5421.0,,0.09994000000000003,0.20660183606020924
Não identificada,,3935.0,,0.09811999999999999,0.20283942519739565
Não identificada,,3740.0,,0.09673399999999999,0.19997420461725307
Não identificada,,4531.0,,0.09490500000000002,0.19619318842599714
Não identificada,,4776.0,,0.09472999999999998,0.19583141815072655
Não identificada,,5408.0,,0.09151500000000001,0.18918518137932805
Não identificada,,3547.0,,0.09041199999999994,0.18690499501576566
Não identificada,,4160.0,,0.09005600000000002,0.1861690509129298
Não identificada,,4881.0,,0.08985100000000001,0.18574526287618429
Não identificada,,4446.0,,0.08765800000000001,0.18121176451236562
Não identificada,,4596.0,,0.08454600000000001,0.17477845538869768
Não identificada,,4661.0,,0.08446200000000004,0.17460480565656789
Não identificada,,5085.0,,0.08411499999999994,0.17388746688217413
Não identificada,,3294.0,,0.08329999999999993,0.17220265102877136
Não identificada,,5021.0,,0.08214699999999997,0.16981910172941764
Não identificada,,4233.0,,0.08161600000000002,0.16872138735131115
Não identificada,,5437.0,,0.08149799999999996,0.1684774508228429
Não identificada,,4728.0,,0.08135099999999995,0.16817356379161563
Não identificada,,3559.0,,0.0800860000000001,0.16555848151608898
