wavelength	flux	var	error
4.521000e+03	2.459589e-19	7.551718e-40	2.748039e-20
4.522000e+03	2.570565e-19	7.906923e-40	2.811925e-20
4.523000e+03	2.149674e-19	8.217880e-40	2.866685e-20
4.524000e+03	2.270538e-19	8.241583e-40	2.870816e-20
4.525000e+03	2.515565e-19	8.271431e-40	2.876010e-20
4.526000e+03	2.240110e-19	7.939710e-40	2.817749e-20
4.527000e+03	1.965897e-19	7.602327e-40	2.757232e-20
4.528000e+03	2.349435e-19	8.350231e-40	2.889677e-20
4.529000e+03	2.349494e-19	9.265359e-40	3.043905e-20
4.530000e+03	2.187684e-19	9.249736e-40	3.041338e-20
4.531000e+03	2.482616e-19	9.496077e-40	3.081571e-20
4.532000e+03	2.432123e-19	9.100187e-40	3.016652e-20
4.533000e+03	2.222082e-19	8.138636e-40	2.852829e-20
4.534000e+03	2.323960e-19	8.364420e-40	2.892131e-20
4.535000e+03	2.799697e-19	8.643484e-40	2.939980e-20
4.536000e+03	2.599492e-19	8.489242e-40	2.913630e-20
4.537000e+03	2.280049e-19	8.151529e-40	2.855088e-20
4.538000e+03	2.193092e-19	8.147909e-40	2.854454e-20
4.539000e+03	2.272704e-19	8.133921e-40	2.852003e-20
4.540000e+03	2.190404e-19	7.840958e-40	2.800171e-20
4.541000e+03	2.182778e-19	7.895088e-40	2.809820e-20
4.542000e+03	2.476075e-19	7.769276e-40	2.787342e-20
4.543000e+03	2.858127e-19	7.674525e-40	2.770293e-20
4.544000e+03	2.134879e-19	8.257728e-40	2.873626e-20
4.545000e+03	2.096097e-19	8.762406e-40	2.960136e-20
4.546000e+03	1.750563e-19	8.668321e-40	2.944201e-20
4.547000e+03	2.037974e-19	8.603853e-40	2.933232e-20
4.548000e+03	2.209209e-19	8.175024e-40	2.859200e-20
4.549000e+03	1.999966e-19	7.694437e-40	2.773885e-20
4.550000e+03	2.069178e-19	7.964458e-40	2.822137e-20
4.551000e+03	2.079395e-19	8.339134e-40	2.887756e-20
4.552000e+03	1.674311e-19	8.222682e-40	2.867522e-20
4.553000e+03	2.005739e-19	8.237254e-40	2.870062e-20
4.554000e+03	1.682719e-19	7.981587e-40	2.825170e-20
4.555000e+03	1.933230e-19	7.878735e-40	2.806908e-20
4.556000e+03	2.193144e-19	7.718659e-40	2.778247e-20
4.557000e+03	2.647812e-19	7.800328e-40	2.792907e-20
4.558000e+03	2.489340e-19	7.851528e-40	2.802058e-20
4.559000e+03	2.547625e-19	7.873574e-40	2.805989e-20
4.560000e+03	2.202706e-19	7.644763e-40	2.764916e-20
4.561000e+03	2.129615e-19	7.294913e-40	2.700910e-20
4.562000e+03	1.955667e-19	7.561588e-40	2.749834e-20
4.563000e+03	2.148283e-19	7.929250e-40	2.815892e-20
4.564000e+03	2.230039e-19	7.906524e-40	2.811854e-20
4.565000e+03	2.178008e-19	7.903618e-40	2.811337e-20
4.566000e+03	2.213066e-19	7.537275e-40	2.745410e-20
4.567000e+03	2.431665e-19	7.141848e-40	2.672424e-20
4.568000e+03	2.566541e-19	7.106231e-40	2.665752e-20
4.569000e+03	2.145996e-19	7.010724e-40	2.647777e-20
