wavelength,flux_obs,flux_syn,flux_residual
3396.0,1.12046,1.09671,0.023749999999999938
3397.0,1.31887,1.09255,0.22632000000000008
3398.0,0.946837,1.08783,-0.14099300000000003
3399.0,0.893587,1.08296,-0.1893729999999999
3400.0,1.05729,1.07833,-0.021039999999999948
3401.0,1.09246,1.07401,0.018450000000000077
3402.0,0.868712,1.07026,-0.20154799999999995
3403.0,1.16934,1.06723,0.10211000000000015
3404.0,1.16078,1.06491,0.0958699999999999
3405.0,0.746128,1.06325,-0.317122
3406.0,0.884618,1.06227,-0.17765200000000003
3407.0,0.982394,1.06196,-0.07956600000000003
3408.0,1.00044,1.06219,-0.06174999999999997
3409.0,1.0964,1.06291,0.03349000000000002
3410.0,1.28416,1.06391,0.22025000000000006
3411.0,1.29162,1.06534,0.22628000000000004
3412.0,1.21195,1.06714,0.1448100000000001
3413.0,1.24555,1.06918,0.17636999999999992
3414.0,0.985141,1.07132,-0.086179
3415.0,0.946581,1.07345,-0.126869
3416.0,0.961718,1.07553,-0.11381200000000014
3417.0,0.714343,1.0775,-0.36315699999999995
3418.0,0.962282,1.07927,-0.11698799999999998
3419.0,1.23969,1.08072,0.15897000000000006
3420.0,1.17324,1.08186,0.09138000000000002
3421.0,1.18263,1.08269,0.09994000000000014
3422.0,1.15319,1.08333,0.06986000000000003
3423.0,1.24273,1.08375,0.1589799999999999
3424.0,1.39145,1.08401,0.30744000000000016
3425.0,1.11681,1.08416,0.03265000000000007
3426.0,1.07062,1.08416,-0.013540000000000108
3427.0,1.22116,1.08404,0.13712000000000013
3428.0,1.16959,1.08367,0.08592
3429.0,0.892801,1.0829,-0.19009900000000002
3430.0,0.945969,1.08182,-0.13585100000000006
3431.0,0.879537,1.0804,-0.200863
3432.0,0.830655,1.0787,-0.24804499999999996
3433.0,0.880447,1.07673,-0.19628299999999999
3434.0,1.02464,1.07446,-0.049819999999999975
3435.0,0.958823,1.07184,-0.11301699999999992
3436.0,0.831935,1.06892,-0.2369850000000001
3437.0,0.938345,1.06582,-0.127475
3438.0,1.14501,1.06271,0.08230000000000004
3439.0,1.15214,1.05968,0.09245999999999999
3440.0,1.19864,1.05699,0.14164999999999983
3441.0,1.17459,1.05474,0.11985000000000001
3442.0,0.976041,1.05291,-0.07686899999999997
3443.0,1.00647,1.05137,-0.04489999999999994
3444.0,1.14733,1.0499,0.0974299999999999
3445.0,0.991168,1.04846,-0.0572919999999999
3446.0,0.986976,1.04696,-0.059983999999999926
3447.0,1.03318,1.04533,-0.012150000000000105
3448.0,1.06851,1.04345,0.025060000000000082
3449.0,1.18872,1.041,0.14772000000000007
3450.0,1.01223,1.03828,-0.02605000000000013
3451.0,0.935827,1.0356,-0.09977300000000011
3452.0,1.05104,1.03313,0.01790999999999987
3453.0,0.861327,1.03095,-0.16962300000000008
3454.0,0.961023,1.02901,-0.06798700000000002
3455.0,0.931926,1.02743,-0.09550400000000003
3456.0,1.218,1.02627,0.19172999999999996
3457.0,1.10408,1.02557,0.07850999999999986
3458.0,1.13644,1.02536,0.11107999999999985
3459.0,1.184,1.02561,0.15839000000000003
3460.0,1.3439,1.02629,0.31761000000000017
3461.0,0.920733,1.02733,-0.10659700000000005
3462.0,1.01088,1.02872,-0.017840000000000078
3463.0,1.28264,1.02974,0.2528999999999999
3464.0,0.969977,1.03056,-0.06058299999999994
3465.0,0.879844,1.03117,-0.15132599999999996
3466.0,1.07595,1.03139,0.04455999999999993
3467.0,1.14813,1.03111,0.11702000000000012
3468.0,0.954614,1.03033,-0.075716
3469.0,1.00522,1.02901,-0.023789999999999978
3470.0,0.965127,1.02705,-0.06192300000000006
3471.0,0.817552,1.02469,-0.20713800000000016
3472.0,1.08894,1.02211,0.06682999999999995
3473.0,1.20298,1.01922,0.18375999999999992
3474.0,1.0642,1.01631,0.04788999999999999
3475.0,0.787175,1.01361,-0.22643499999999994
3476.0,1.13859,1.01119,0.12739999999999996
3477.0,1.07251,1.00932,0.06319000000000008
3478.0,1.0462,1.00826,0.037940000000000085
3479.0,0.745093,1.00805,-0.2629569999999999
3480.0,1.0033,1.00855,-0.005249999999999977
3481.0,1.03518,1.00955,0.02563000000000004
3482.0,1.01027,1.01101,-0.0007399999999999629
3483.0,1.07079,1.01297,0.05781999999999998
3484.0,1.02726,1.01537,0.011889999999999956
3485.0,1.22115,1.01779,0.20335999999999999
3486.0,1.28103,1.02,0.2610299999999999
3487.0,1.12433,1.02193,0.10240000000000005
3488.0,0.898648,1.02339,-0.12474200000000002
3489.0,0.666563,1.0243,-0.35773699999999997
3490.0,0.962139,1.02472,-0.06258100000000011
3491.0,1.18595,1.02473,0.16122000000000014
3492.0,1.36072,1.02427,0.3364499999999999
3493.0,0.709951,1.02338,-0.31342899999999996
3494.0,0.822752,1.02206,-0.19930799999999993
3495.0,0.889208,1.02031,-0.13110200000000005
3496.0,0.985071,1.01839,-0.033318999999999876
3497.0,1.15678,1.0164,0.14037999999999995
3498.0,1.16429,1.01425,0.15003999999999995
3499.0,0.958859,1.01179,-0.05293099999999995
3500.0,0.851942,1.00912,-0.15717800000000004
3501.0,1.35878,1.00658,0.35220000000000007
3502.0,1.48088,1.00415,0.4767299999999999
3503.0,1.58027,1.0017,0.57857
3504.0,1.03236,0.999275,0.03308499999999992
3505.0,0.958349,0.997096,-0.038746999999999976
3506.0,1.11565,0.995264,0.12038599999999999
3507.0,1.038,0.99374,0.04426000000000008
3508.0,1.11488,0.992437,0.12244300000000008
3509.0,1.19419,0.991419,0.20277100000000003
3510.0,0.935086,0.990718,-0.055632000000000015
3511.0,0.985451,0.990246,-0.004794999999999994
3512.0,0.936059,0.989963,-0.05390400000000006
3513.0,0.960202,0.989939,-0.029737000000000013
3514.0,1.10629,0.990137,0.11615299999999995
3515.0,1.01592,0.990478,0.025441999999999965
3516.0,1.0428,0.990676,0.05212399999999995
3517.0,1.12214,0.99074,0.13139999999999996
3518.0,1.0438,0.990672,0.053128000000000064
3519.0,0.810337,0.990466,-0.18012899999999998
3520.0,1.12317,0.990177,0.13299300000000003
3521.0,1.34018,0.989892,0.35028799999999993
3522.0,0.947018,0.989746,-0.04272799999999999
3523.0,1.06892,0.989857,0.0790630000000001
3524.0,1.31987,0.990048,0.32982200000000006
3525.0,0.870301,0.990485,-0.12018399999999996
3526.0,1.08387,0.991246,0.09262399999999993
3527.0,0.957022,0.992252,-0.035229999999999984
3528.0,1.1235,0.99336,0.13013999999999992
3529.0,0.833535,0.994433,-0.16089799999999999
3530.0,1.01186,0.995403,0.016456999999999944
3531.0,1.2666,0.996287,0.2703129999999999
3532.0,0.94598,0.99694,-0.050960000000000005
3533.0,1.07159,0.997348,0.07424200000000003
3534.0,0.985854,0.997707,-0.011853000000000002
3535.0,1.13442,0.998075,0.13634499999999994
3536.0,1.35587,0.998361,0.35750899999999985
3537.0,0.868865,0.998652,-0.12978699999999999
3538.0,0.693511,0.99902,-0.30550900000000003
3539.0,0.903493,0.999479,-0.09598600000000002
3540.0,1.0622,0.99991,0.06229000000000007
3541.0,1.10434,1.00021,0.10413000000000006
3542.0,1.00613,1.00041,0.005719999999999947
3543.0,1.02596,1.00059,0.025369999999999893
3544.0,1.08162,1.00067,0.08095000000000008
3545.0,0.899799,1.00051,-0.100711
3546.0,1.08421,1.00021,0.08399999999999985
3547.0,1.09021,0.999798,0.09041199999999994
3548.0,1.0219,0.99925,0.02265000000000006
3549.0,0.909162,0.998541,-0.08937899999999999
3550.0,0.910506,0.997774,-0.08726800000000001
3551.0,0.983986,0.997065,-0.013078999999999952
3552.0,1.01172,0.996417,0.015302999999999956
3553.0,0.998579,0.995803,0.0027760000000000007
3554.0,1.03049,0.995218,0.03527199999999986
3555.0,0.947768,0.994656,-0.04688799999999993
3556.0,0.943903,0.994138,-0.05023499999999992
3557.0,1.03025,0.993563,0.036687000000000136
3558.0,0.94908,0.992796,-0.04371599999999998
3559.0,1.07187,0.991784,0.0800860000000001
3560.0,0.921396,0.990564,-0.06916800000000001
3561.0,1.04039,0.988979,0.05141099999999987
3562.0,0.829111,0.986814,-0.15770299999999993
3563.0,0.846758,0.984052,-0.13729400000000003
3564.0,0.799301,0.980894,-0.181593
3565.0,0.777188,0.977389,-0.20020099999999996
3566.0,0.80974,0.973482,-0.16374199999999994
3567.0,1.03764,0.969426,0.06821399999999989
3568.0,0.949516,0.965275,-0.015758999999999967
3569.0,1.08877,0.961001,0.12776900000000002
3570.0,0.94442,0.956705,-0.01228499999999999
3571.0,0.821162,0.952744,-0.1315820000000001
3572.0,0.776215,0.949324,-0.17310899999999996
3573.0,0.995336,0.946301,0.04903500000000005
3574.0,0.874364,0.943632,-0.069268
3575.0,0.925307,0.941375,-0.01606799999999997
3576.0,0.848638,0.939344,-0.09070599999999995
3577.0,0.603597,0.937452,-0.3338549999999999
3578.0,1.02332,0.93567,0.08765
3579.0,1.10117,0.93412,0.16705000000000003
3580.0,1.04053,0.932761,0.107769
3581.0,0.987569,0.931493,0.056076000000000015
3582.0,0.820878,0.930435,-0.10955700000000002
3583.0,0.819916,0.929613,-0.10969700000000004
3584.0,0.969145,0.928979,0.040166000000000035
3585.0,0.890601,0.928626,-0.038024999999999975
3586.0,1.03864,0.928656,0.10998399999999997
3587.0,1.06269,0.929188,0.1335019999999999
