wavelength	flux	var	error
4.704000e+03	9.176234e+02	9.712565e+02	3.116499e+01
4.705000e+03	9.402498e+02	1.035952e+03	3.218621e+01
4.706000e+03	9.137402e+02	1.136941e+03	3.371856e+01
4.707000e+03	9.173723e+02	1.128066e+03	3.358669e+01
4.708000e+03	9.091179e+02	1.087822e+03	3.298215e+01
4.709000e+03	9.222220e+02	1.026290e+03	3.203576e+01
4.710000e+03	9.213053e+02	9.611992e+02	3.100321e+01
4.711000e+03	9.641895e+02	9.088359e+02	3.014690e+01
4.712000e+03	9.610796e+02	8.653676e+02	2.941713e+01
4.713000e+03	9.307807e+02	8.700778e+02	2.949708e+01
4.714000e+03	9.559962e+02	8.805466e+02	2.967401e+01
4.715000e+03	9.268915e+02	8.722167e+02	2.953331e+01
4.716000e+03	9.613780e+02	8.774164e+02	2.962122e+01
4.717000e+03	9.978566e+02	8.836855e+02	2.972685e+01
4.718000e+03	9.836215e+02	8.977360e+02	2.996224e+01
4.719000e+03	9.587708e+02	8.979793e+02	2.996630e+01
4.720000e+03	9.801079e+02	9.037805e+02	3.006294e+01
4.721000e+03	9.509018e+02	8.908030e+02	2.984632e+01
4.722000e+03	9.758252e+02	8.802030e+02	2.966822e+01
4.723000e+03	9.641404e+02	8.727181e+02	2.954180e+01
4.724000e+03	9.440126e+02	8.634329e+02	2.938423e+01
4.725000e+03	9.652761e+02	8.581642e+02	2.929444e+01
4.726000e+03	9.576968e+02	1.038691e+03	3.222873e+01
4.727000e+03	9.745554e+02	1.259008e+03	3.548250e+01
4.728000e+03	9.221081e+02	1.246757e+03	3.530944e+01
4.729000e+03	9.212842e+02	1.269418e+03	3.562890e+01
4.730000e+03	9.126327e+02	1.292747e+03	3.595479e+01
4.731000e+03	9.202148e+02	1.291815e+03	3.594183e+01
4.732000e+03	9.461575e+02	1.280437e+03	3.578319e+01
4.733000e+03	9.970819e+02	1.463605e+03	3.825708e+01
4.734000e+03	8.794614e+02	2.158462e+03	4.645925e+01
4.735000e+03	8.843568e+02	2.280673e+03	4.775639e+01
4.736000e+03	8.851252e+02	1.499842e+03	3.872780e+01
4.737000e+03	8.960168e+02	1.252642e+03	3.539268e+01
4.738000e+03	8.873807e+02	1.287328e+03	3.587935e+01
4.739000e+03	9.135538e+02	1.312756e+03	3.623198e+01
4.740000e+03	9.438413e+02	1.326862e+03	3.642612e+01
4.741000e+03	9.808234e+02	1.352700e+03	3.677907e+01
4.742000e+03	9.687666e+02	1.372515e+03	3.704746e+01
4.743000e+03	9.152448e+02	1.426086e+03	3.776355e+01
4.744000e+03	9.180601e+02	1.421999e+03	3.770940e+01
4.745000e+03	9.712699e+02	1.377069e+03	3.710888e+01
4.746000e+03	9.936338e+02	1.343874e+03	3.665889e+01
4.747000e+03	9.645378e+02	1.325729e+03	3.641056e+01
4.748000e+03	9.603264e+02	1.319245e+03	3.632142e+01
4.749000e+03	9.466451e+02	1.310294e+03	3.619799e+01
4.750000e+03	9.246159e+02	1.238952e+03	3.519876e+01
